Company,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,SIC Codes,Short Description,Founded Year,employees_numeric,Company_Size_Category,revenue_numeric,Industry_Category_Standardized,Country_Standardized,Geographic_Reach_Category_Standardized,Combined_Description,description_language_sample
Trafo Baden │ Congress. Hotels. Catering.,27,events services,http://www.trafobaden.ch,http://www.linkedin.com/company/trafo-baden---hallen-&-hotel,https://www.facebook.com/trafobaden,,1 Brown Boveri Platz,Baden,Aargau,Switzerland,5400,"1 Brown Boveri Platz, Baden, Aargau, Switzerland, 5400","veranstaltungen, kongresse bis 1500 personen, bankette seminare, events",,,"Salesforce, Outlook, Hubspot, YouTube, Typekit, Nginx, reCAPTCHA, Ubuntu, Mobile Friendly, Google Tag Manager, Google Analytics, Facebook Custom Audiences, Apache",,,,,,,"Vorhang auf für Ihren Event. Laden Sie ein, schaffen Sie Welten, verblüffen Sie Besucher, bringen Sie Ihr Publikum zum Staunen. Schöpfen Sie aus dem Vollen, inszenieren Sie Ihre Shows, Konzerte, Messen und Ausstellungen in den grosszügigen Eventräumen des TRAFO.

Zählen Sie für Ihren Event auf die weitreichende Erfahrung und das vertiefte Fachwissen unserer Veranstaltungstechniker und Eventplaner. Bespielen Sie Eventräume unterschiedlicher Grösse wie die TRAFOHALLE oder den Glassaal. Verwöhnen Sie Ihr Publikum mit den Köstlichkeiten unserer Eventkulinarik.

Nennen Sie die Ziele Ihres Events und nutzen Sie die Beratung unserer Spezialisten aus unzähligen Veranstaltungen. TRAFO Baden - für jeden Event stimmen Raum, Technik, Mobiliar und Dekoration.",2003,27,Nov-50,,Business Consulting / Management Consulting,Switzerland,National (Switzerland),"Vorhang auf für Ihren Event. Laden Sie ein, schaffen Sie Welten, verblüffen Sie Besucher, bringen Sie Ihr Publikum zum Staunen. Schöpfen Sie aus dem Vollen, inszenieren Sie Ihre Shows, Konzerte, Messen und Ausstellungen in den grosszügigen Eventräumen des TRAFO.

Zählen Sie für Ihren Event auf die weitreichende Erfahrung und das vertiefte Fachwissen unserer Veranstaltungstechniker und Eventplaner. Bespielen Sie Eventräume unterschiedlicher Grösse wie die TRAFOHALLE oder den Glassaal. Verwöhnen Sie Ihr Publikum mit den Köstlichkeiten unserer Eventkulinarik.

Nennen Sie die Ziele Ihres Events und nutzen Sie die Beratung unserer Spezialisten aus unzähligen Veranstaltungen. TRAFO Baden - für jeden Event stimmen Raum, Technik, Mobiliar und Dekoration.",
OTTO PARTNER ARCHITEKTEN AG,24,architecture & planning,http://www.ottopartner.ch,http://www.linkedin.com/company/ottopartnerarchitekten,,,30 Benzburweg,Liestal,Basel-Landschaft,Switzerland,4410,"30 Benzburweg, Liestal, Basel-Landschaft, Switzerland, 4410",,'+41 61 927 97 77,"Herzlich willkommen bei Otto Partner Architekten AG. Wir sind ein modernes Architektur-Büro in Liestal, BL.","WordPress.org, Nginx, Google Font API, Mobile Friendly, Metamask",,,,,,,"Architektur - Planung und Bauleitung, Quartierplanverfahren, Projektentwicklungen, Wettbewerbe, Innenarchitektur, Visualisierungen

Landschaftsarchitektur - Planung und Bauleitung",1907,24,Nov-50,,Business Consulting / Management Consulting,Switzerland,National (Switzerland),"Architektur - Planung und Bauleitung, Quartierplanverfahren, Projektentwicklungen, Wettbewerbe, Innenarchitektur, Visualisierungen

Landschaftsarchitektur - Planung und Bauleitung. Herzlich willkommen bei Otto Partner Architekten AG. Wir sind ein modernes Architektur-Büro in Liestal, BL.",
treuhand marugg + imsand,29,accounting,http://www.trmi.ch,http://www.linkedin.com/company/treuhand-marugg-imsand,,,1 Gliserallee,Brig,Valais,Switzerland,3902,"1 Gliserallee, Brig, Valais, Switzerland, 3902",,'+41 27 922 29 49,,"Outlook, Microsoft Office 365, Google Analytics, Mobile Friendly, Ubuntu, Google Tag Manager, Apache, Google Maps (Non Paid Users), Ruby On Rails, Google Maps, Google Font API",,,,,,,"Treuhand und Immobilien mit Herz und Verstand. Sowohl für Unternehmen wie auch für Privatpersonen. Wir beraten nicht nur. Wir hinterfragen, analysieren und legen die Fakten auf den Tisch. Dabei spielt es keine Rolle, ob Sie uns administrative Arbeiten dauerhaft übertragen oder gezielt Unterstützung bei einer Aufgabe wünschen. Bei allem was wir tun steht stets der Mensch im Mittelpunkt. Unser Ziel ist immer Ihr langfristiger Erfolg.",,29,Nov-50,,Financial Services / Consulting,Switzerland,National (Switzerland),"Treuhand und Immobilien mit Herz und Verstand. Sowohl für Unternehmen wie auch für Privatpersonen. Wir beraten nicht nur. Wir hinterfragen, analysieren und legen die Fakten auf den Tisch. Dabei spielt es keine Rolle, ob Sie uns administrative Arbeiten dauerhaft übertragen oder gezielt Unterstützung bei einer Aufgabe wünschen. Bei allem was wir tun steht stets der Mensch im Mittelpunkt. Unser Ziel ist immer Ihr langfristiger Erfolg.",
SEELAND JOB AG,23,staffing & recruiting,http://www.seelandjob.ch,http://www.linkedin.com/company/seeland-job,https://facebook.com/seelandjob,https://twitter.com/seelandjob,107a Aarbergstrasse,Biel/Bienne,Canton of Bern,Switzerland,2502,"107a Aarbergstrasse, Biel/Bienne, Canton of Bern, Switzerland, 2502","temporaer und festvermittlungen, payrolling, teilzeitstellen, kunden und personalberatung, gesundheitswesen, ferienvertretungen ihres personals, regional, rekrutierungen, kaderstellen, bauhandwerk, industrieproduktion, try hire, bueroadministration, zeiterfassungsystemanbindungen, logistiktransport",,"Durchforschen Sie unsere aktuellen Stellenangebote und finden Temporär- & Feststellenvermittlung für Bau, Handwerk, Industrie, Kaufmännische Bereiche, Kaderstellen","Outlook, MailChimp SPF, Mobile Friendly, Facebook Widget, Facebook Custom Audiences, Vimeo, Google Analytics, Apache, Facebook Login (Connect)",,,,,6329000,7380,"WIR SIND IHR REGIONALER JOBPROFI.  
Die Firma SEELAND JOB AG hat ihren Sitz in Biel, Solothurn und Bern. 

Unser Team besteht aus Menschen mit Empathie, sozialer Erfahrung und Verantwortung.",2008,23,Nov-50,6329000,HR / Recruitment,Switzerland,National (Switzerland),"WIR SIND IHR REGIONALER JOBPROFI.  
Die Firma SEELAND JOB AG hat ihren Sitz in Biel, Solothurn und Bern. 

Unser Team besteht aus Menschen mit Empathie, sozialer Erfahrung und Verantwortung.. Durchforschen Sie unsere aktuellen Stellenangebote und finden Temporär- & Feststellenvermittlung für Bau, Handwerk, Industrie, Kaufmännische Bereiche, Kaderstellen",
Burning Box SA,24,information technology & services,http://www.burningbox.ch,http://www.linkedin.com/company/burningboxsa,https://www.facebook.com/burningboxsa/,,Route Ancienne Papeterie,Marly,Canton of Fribourg,Switzerland,1723,"Route Ancienne Papeterie, Marly, Canton of Fribourg, Switzerland, 1723",,'+41 26 552 03 30,,"Outlook, Microsoft Azure Hosting, Microsoft-IIS, ASP.NET, Bootstrap Framework, Google Maps (Non Paid Users), Google Analytics, Google Maps, Google Font API, reCAPTCHA, Mobile Friendly, Remote, Reviews, Basis, SharePoint",,,,,,,"We focus on our area of expertise: software development. Whether you are trying to create a website to process millions of records or a software to ease or expedite the process, our experience and know-how will ensure that we come up with the perfect solution, together.",1996,24,Nov-50,,IT Services / Managed Services,Switzerland,National (Switzerland),"We focus on our area of expertise: software development. Whether you are trying to create a website to process millions of records or a software to ease or expedite the process, our experience and know-how will ensure that we come up with the perfect solution, together.",
TEDxZurich,18,nonprofit organization management,http://www.tedxzurich.com,http://www.linkedin.com/company/tedxzurich,https://facebook.com/tedxzurich,https://twitter.com/TEDxZurich,1 Fernsehstrasse,Zurich,Zurich,Switzerland,8052,"1 Fernsehstrasse, Zurich, Zurich, Switzerland, 8052",,'+41 44 258 16 00,TEDxZurich is an independently organised event.,"SendInBlue, Gmail, Google Apps, Google Font API, Mobile Friendly, Hotjar, Google Tag Manager, Google Analytics, Linkedin Marketing Solutions, YouTube, WordPress.org",,,,,3569000,8300,"TEDxZurich is a non-profit initiative and operates Zürich-based TEDx events under a license from TED. 

In the spirit of ideas worth spreading, TEDx is a program of local, self-organized events that bring people together to share a TED-like experience. At a TEDx event, TED Talks videos and live speakers combine to spark deep discussion and connection. 

Organised by the core team of more than 40 volunteers, the annual TEDxZurich Event gathers up to 600 participants and inspiring speakers from all over the world who get together for a day of wonder, inspiration and awe. TEDxZurich concentrates on topics related to the city of Zurich and its surroundings but also caters to bringing ideas, and knowledge and talks about broader topics.",2010,18,Nov-50,3569000,Non-Profits / Associations (B2B),Switzerland,National (Switzerland),"TEDxZurich is a non-profit initiative and operates Zürich-based TEDx events under a license from TED. 

In the spirit of ideas worth spreading, TEDx is a program of local, self-organized events that bring people together to share a TED-like experience. At a TEDx event, TED Talks videos and live speakers combine to spark deep discussion and connection. 

Organised by the core team of more than 40 volunteers, the annual TEDxZurich Event gathers up to 600 participants and inspiring speakers from all over the world who get together for a day of wonder, inspiration and awe. TEDxZurich concentrates on topics related to the city of Zurich and its surroundings but also caters to bringing ideas, and knowledge and talks about broader topics.. TEDxZurich is an independently organised event.",
Five Elephant.,20,food & beverages,http://www.fiveelephant.com,http://www.linkedin.com/company/fiveelephant,http://facebook.com/FiveElephant/,https://twitter.com/fiveelephant,5 Glogauer Strasse,Berlin,Berlin,Germany,10999,"5 Glogauer Strasse, Berlin, Berlin, Germany, 10999","coffee, roasting, cake, bakery",,"Sourcing and roasting exceptional coffees, shipping worldwide for wholesale & retail or carefully brewed in our Berlin-based cake shops.","Gmail, Google Apps, Zendesk, Shopify, Hubspot, Recharge Payments, Shopify Unlimited, Amadesa, Disqus, Google Tag Manager, Facebook Login (Connect), Facebook Custom Audiences, Facebook Widget, Google Analytics, Klaviyo, Paypal, Mobile Friendly, Render",,,,,28982000,7011,"Five Elephant ist eine Kaffeerösterei inkl. Kuchenbäckerei und Cafés in Berlin. Mit Leidenschaft für Qualität ist es unser Ziel, die besten Kaffees der Welt unter Berücksichtigung von Umwelt- und sozialen Auswirkungen herzustellen. Durch direkten Handel schaffen wir persönliche und nachhaltige Partnerschaften mit unseren Produzenten in Südamerika und Afrika. 
Neben unseren Cafés liefern wir unseren Kaffee auch an nationale sowie internationale Geschäftskunden in Gastronomie und Wirtschaft – Sterne-Restaurants, Startups, Kanzleien Mittelständler und internationale Konzerne gehören dabei zu unseren Kunden.",2010,20,Nov-50,28982000,Food & Beverage,Germany,National (Germany),"Five Elephant ist eine Kaffeerösterei inkl. Kuchenbäckerei und Cafés in Berlin. Mit Leidenschaft für Qualität ist es unser Ziel, die besten Kaffees der Welt unter Berücksichtigung von Umwelt- und sozialen Auswirkungen herzustellen. Durch direkten Handel schaffen wir persönliche und nachhaltige Partnerschaften mit unseren Produzenten in Südamerika und Afrika. 
Neben unseren Cafés liefern wir unseren Kaffee auch an nationale sowie internationale Geschäftskunden in Gastronomie und Wirtschaft – Sterne-Restaurants, Startups, Kanzleien Mittelständler und internationale Konzerne gehören dabei zu unseren Kunden.. Sourcing and roasting exceptional coffees, shipping worldwide for wholesale & retail or carefully brewed in our Berlin-based cake shops.",
Forum Fribourg,19,events services,http://www.forum-fribourg.ch,http://www.linkedin.com/company/forum-fribourg-sa,https://www.facebook.com/forumfribourg,,12 Route du Lac,Granges-Paccot,Canton of Fribourg,Switzerland,1763,"12 Route du Lac, Granges-Paccot, Canton of Fribourg, Switzerland, 1763","concerts, seminaires, salons, location, events, organisation de salons b2b et b2c, expositions, congres, banquets, manifestations culturelles, aperitifs",'+41 76 329 34 77,Salles et halles d'événement à Fribourg. Grand bâtiment capable de contenir jusqu'à 10.000 personnes. Entièrement personnalisable pour répondre à vos besoins.,"Outlook, Google Font API, Apache, ShareThis, Mobile Friendly, OpenSSL, Google Maps, Bootstrap Framework, reCAPTCHA, Vimeo, AI",,,,,,,"Lieu de rencontre par excellence, Forum Fribourg propose ses espaces, services et compétences à une clientèle fortement variée et aux attentes multiples.  Avec une infrastructure modulaire, notre centre offre la possibilité d'organiser tout type d'événements privés et publics, d'une petite réunion à un concert en passant par une exposition, un congrès, un banquet ou une conférence.",1999,19,Nov-50,,Business Consulting / Management Consulting,Switzerland,National (Switzerland),"Lieu de rencontre par excellence, Forum Fribourg propose ses espaces, services et compétences à une clientèle fortement variée et aux attentes multiples.  Avec une infrastructure modulaire, notre centre offre la possibilité d'organiser tout type d'événements privés et publics, d'une petite réunion à un concert en passant par une exposition, un congrès, un banquet ou une conférence.. Salles et halles d'événement à Fribourg. Grand bâtiment capable de contenir jusqu'à 10.000 personnes. Entièrement personnalisable pour répondre à vos besoins.",
B.C.D.T. & Associés SA,23,insurance,http://www.bcdt.ch,http://www.linkedin.com/company/bcdt,,,33b Route des Jeunes,Carouge,Geneva,Switzerland,1227,"33b Route des Jeunes, Carouge, Geneva, Switzerland, 1227","courtage en assurance, fiduciaire, financial lines, prevoyance",'+41 22 807 00 60,,"Microsoft Office 365, Apache, AI",,,,,,,"BCDT, créée en 2001, a pour vocation d'offrir un service global et hautement personnalisé à une clientèle fidèle et de qualité, institutionnelle et privée.

Ses associés sont garants d'une gestion professionnelle et pérenne dans le respect de la neutralité et de la confidentialité. Ils sont assistés d'une équipe de collaborateurs qualifiés, créatifs et empreints d'un sens aigu du service.

B.C.D.T. développe ses activités dans un réel esprit de partenariat avec les compagnies d'assurances et les banques auprès desquelles elle bénéficie de la légitimité essentielle pour offrir des services à haute valeur ajoutée.

Numéro d'accréditation FINMA : 11271",2001,23,Nov-50,,Financial Services / Consulting,Switzerland,National (Switzerland),"BCDT, créée en 2001, a pour vocation d'offrir un service global et hautement personnalisé à une clientèle fidèle et de qualité, institutionnelle et privée.

Ses associés sont garants d'une gestion professionnelle et pérenne dans le respect de la neutralité et de la confidentialité. Ils sont assistés d'une équipe de collaborateurs qualifiés, créatifs et empreints d'un sens aigu du service.

B.C.D.T. développe ses activités dans un réel esprit de partenariat avec les compagnies d'assurances et les banques auprès desquelles elle bénéficie de la légitimité essentielle pour offrir des services à haute valeur ajoutée.

Numéro d'accréditation FINMA : 11271",
HLP Architekten AG,15,architecture & planning,http://www.hlp-architekten.ch,http://www.linkedin.com/company/hlp-architekten-ag,,,30 Rikonerstrasse,,,Switzerland,8307,"30 Rikonerstrasse, Switzerland, 8307",,,,"Outlook, Microsoft Office 365, Sophos, Mobile Friendly, Drupal, Nginx, reCAPTCHA, Google Tag Manager, Reviews",,,,,,,wir schaffen raum.,2002,15,Nov-50,,Business Consulting / Management Consulting,Switzerland,National (Switzerland),wir schaffen raum.,
